asset_id,asset_name,stock_code,year,field_name,old_value,new_value,source_name,verification_status,notes
A_HUANGSHAN,Huangshan Tourism,600054,2023,revenue,1850.0,1929441918.97,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_HUANGSHAN,Huangshan Tourism,600054,2023,operating_cash_flow,500.0,722893531.77,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_HUANGSHAN,Huangshan Tourism,600054,2023,total_assets,6200.0,5654288820.01,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_HUANGSHAN,Huangshan Tourism,600054,2023,total_debt,1550.0,962572023.91,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_HUANGSHAN,Huangshan Tourism,600054,2023,debt_ratio,0.25,0.17023750546727423,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_HUANGSHAN,Huangshan Tourism,600054,2024,revenue,2010.0,1931131905.5,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_HUANGSHAN,Huangshan Tourism,600054,2024,operating_cash_flow,555.0,521663003.98,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_HUANGSHAN,Huangshan Tourism,600054,2024,total_assets,6500.0,5732301996.17,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_HUANGSHAN,Huangshan Tourism,600054,2024,total_debt,1580.0,873235828.7,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_HUANGSHAN,Huangshan Tourism,600054,2024,debt_ratio,0.24,0.15233597763750878,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_TIANMU,Tianmu Lake,603136,2023,revenue,1120.0,629889317.51,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_TIANMU,Tianmu Lake,603136,2023,operating_cash_flow,285.0,315821380.13,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_TIANMU,Tianmu Lake,603136,2023,total_assets,3900.0,1740232880.56,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_TIANMU,Tianmu Lake,603136,2023,total_debt,920.0,291846322.92,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_TIANMU,Tianmu Lake,603136,2023,debt_ratio,0.24,0.16770532621248085,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_TIANMU,Tianmu Lake,603136,2024,revenue,1235.0,536204952.43,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_TIANMU,Tianmu Lake,603136,2024,operating_cash_flow,325.0,192051380.11,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_TIANMU,Tianmu Lake,603136,2024,total_assets,4100.0,1781654461.9,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_TIANMU,Tianmu Lake,603136,2024,total_debt,940.0,314222614.22,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_TIANMU,Tianmu Lake,603136,2024,debt_ratio,0.23,0.17636563146195325,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_BTG_HOTELS,BTG Hotels,600258,2023,revenue,7800.0,7792924439.0,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_BTG_HOTELS,BTG Hotels,600258,2023,operating_cash_flow,900.0,4013777901.35,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_BTG_HOTELS,BTG Hotels,600258,2023,total_assets,18200.0,25240145119.98,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_BTG_HOTELS,BTG Hotels,600258,2023,total_debt,6100.0,13967224014.58,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_BTG_HOTELS,BTG Hotels,600258,2023,debt_ratio,0.34,0.5533733640668967,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_BTG_HOTELS,BTG Hotels,600258,2024,revenue,8420.0,7751223528.97,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_BTG_HOTELS,BTG Hotels,600258,2024,operating_cash_flow,1010.0,3370866578.48,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_BTG_HOTELS,BTG Hotels,600258,2024,total_assets,18900.0,24885179791.5,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_BTG_HOTELS,BTG Hotels,600258,2024,total_debt,6200.0,13064669248.36,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
A_BTG_HOTELS,BTG Hotels,600258,2024,debt_ratio,0.33,0.5249979850586607,AKShare Sina financial statement interface,verified,Public financial statement fields parsed from AKShare.
